entity_type,entity_value,count
PER,Donna Stewart,2
PER,Doug Williams,2
PER,Emanuel Cleaver,2
PER,Eric Wesson,2
PER,Eric Winston,2
PER,Floyd Little,2
PER,George,2
PER,Houston,2
PER,Hubbards,2
PER,Isaiah,2
PER,Jeffersons,2
PER,Jerry Rice,2
PER,Jim Randall,2
PER,Jimmy Ray Hubbard,2
PER,Joe Webster,2
PER,Kaepernick,2
PER,Kerry,2
PER,King Cole,2
PER,Kurt Warner,2
PER,Larry,2
PER,Lura,2
PER,Mccluster,2
PER,Mcnabb,2
PER,Niters,2
PER,Peyton,2
PER,Ray Charles,2
PER,Romeo Crennel,2
PER,Ron Walton,2
PER,Santa,2
PER,Stewart Watson,2
PER,Sue,2
PER,Thigpen,2
PER,Tomlin,2
PER,Tracy Allen,2
PER,Walt Youngblood,2
PER,Willie Humphrey,2
PER,Winston,2
PER,7Paul Booker,1
PER,A. Holmes,1
PER,Aaron Alexis,1
PER,Aaron Rodgers,1
PER,Adlai Stevenson,1
PER,Alex,1
PER,Alex Smith,1
PER,All,1
PER,Alvin Brooks,1
PER,Amanda And Erica,1
PER,Andre Jackson,1
PER,Andrea Buford,1
PER,Andrew Luck,1
PER,Andy Reid,1
PER,Annie,1
PER,Anut Brittle Matt Cassel,1
PER,Apostle Paul,1
PER,Arionne Williams,1
PER,Ashley,1
PER,Awol Alex,1
PER,Ba Cleaver,1
PER,Barack,1
PER,Barack Obama,1
PER,Benedict Justice,1
PER,Beyonce Beyonce,1
PER,Big Hater,1
PER,Big Hub,1
PER,Biker,1
PER,Bo Jackson,1
PER,Bob Wheeler,1
PER,Brady Quinn,1
PER,Brady To Toomer,1
PER,Brandon,1
PER,Breana Jordan,1
PER,Called Suh,1
PER,Cameron,1
PER,Cantankerous Ike Gardner,1
PER,Carl “Classy,1
PER,Carl “Righteous Bro-Ther,1
PER,Carl Iii,1
PER,Carlynn,1
PER,Carolyn,1
PER,Carson Palmer,1
PER,Cb Cadenhead,1
PER,Cbubba Cleaver,1
PER,Char,1
PER,Charlene Boswell,1
PER,Charles Fort,1
PER,Charles Kynard,1
PER,Chef,1
PER,Chester Anderson,1
PER,Chocolate Drop,1
PER,Christian,1
PER,Christian Nunnelly,1
PER,Chuck Wimes,1
PER,Clancy,1
PER,Clancy Parker,1
PER,Clark Hunt,1
PER,Clyde,1
PER,Clyde Mcqueen,1
PER,Congressman Emanuel,1
PER,Connor,1
PER,Crennel,1
PER,Crennell,1
PER,Croyle,1
PER,Dad,1
PER,Danielle,1
PER,Danielle Morris,1
PER,Dante Hall,1
PER,Derrick Thomas,1
PER,Dexter,1
PER,Dick,1
PER,Dick Vermeil,1
PER,Doc Allen,1
PER,Donna Summers,1
PER,Donnie Hathaway,1
PER,Dyan Deveraux,1
PER,E.J,1
PER,Earl Abel,1
PER,Earl Pitts,1
PER,Ebenezer Gardner,1
PER,Ebenezer Scrooge,1
PER,Ed  “Dozing,1
PER,Ed “Still Mentoring,1
PER,Ed “The Gee,1
PER,Edwards,1
PER,Eli Manning,1
PER,Elize,1
PER,Emanuel “Bubba,1
PER,Emma Turner,1
PER,Emmitt Smith,1
PER,Emmitt Thomas,1
PER,Eric “Erica,1
PER,Eric “Erica’S Dad,1
PER,Eric “Last Second,1
PER,Eric Fisher,1
PER,Erica Nunnelly,1
PER,Erma Monroe,1
PER,Ersons,1
PER,Etta James,1
PER,Everett O’Neal,1
PER,Fannie Meeks,1
PER,Fats Domino,1
PER,Fitzgerald,1
PER,Flaccoike Gardner,1
PER,Fontella Bass,1
PER,Fred Broski,1
PER,G.L. Blankenship,1
PER,Gant,1
PER,Gen Greenfield,1
PER,Geneva Price,1
PER,George Brooks,1
PER,George Jefferson,1
PER,George Washington,1
PER,Georgia Buchanan,1
PER,Georgy Burger,1
PER,Gerald Pegg,1
PER,Geraldine,1
PER,God Almighty,1
PER,Gore-Bush,1
PER,Günther,1
PER,Günther Cunningham,1
PER,Gurnie Gunther,1
PER,Hadley Reimal,1
PER,Hank Ballard,1
PER,Hank Stram,1
PER,Hater,1
PER,Headed And Competent”  West,1
PER,Henderson Bell,1
PER,Herman Gant,1
PER,Hillary Clinton,1
PER,Howard Gipson,1
PER,Huff,1
PER,Huston,1
PER,I-Phone,1
PER,Ikd,1
PER,Ike “Mad Man,1
PER,Ike “Oldest Grench Alive,1
PER,Ike “Papaw,1
PER,Ikeing,1
PER,Isaiah Banks,1
PER,Jackie Mackrel,1
PER,Jackie Wilson,1
PER,Jamie Foxx,1
PER,Janet Jackson,1
PER,Janice,1
PER,Jay Z,1
PER,Jazel Nunnelly,1
PER,Jim Brown,1
PER,Jim Harbaugh,1
PER,Joanne Herndon,1
PER,Joe Kapp,1
PER,John Agnos,1
PER,John Covington,1
PER,John Williams,1
PER,Johnny Cash,1
PER,Johnny Mathis,1
PER,Johnny Taylor,1
PER,Johnson And Johnsoned West,1
PER,Jon,1
PER,Juanita Dixon,1
PER,Justin Huston,1
PER,Karrington,1
PER,Kerry-Washington,1
PER,Kim,1
PER,King,1
PER,Kosha Johnson,1
PER,L.T,1
PER,Lametria Pegg,1
PER,Len Dawson,1
PER,Leon Arnold,1
PER,Leona,1
PER,Leonard Butler,1
PER,Lincoln University,1
PER,Lisa Page,1
PER,Lisa Washington,1
PER,Little Willie John,1
PER,Llie Hubbard,1
PER,Lloyd “A Gentlemen,1
PER,Logan,1
PER,Lou Rawls,1
PER,Loyal Lloyd,1
PER,Luke Ponder,1
PER,Lula Reed,1
PER,Madame C. J. Walker,1
PER,Margo Quiriconi,1
PER,Marques Harris,1
PER,Marshall Robinson,1
PER,Marvin,1
PER,Mary Helen Parker,1
PER,Mary J. Blige,1
PER,Mary Patton,1
PER,Matt,1
PER,Matt Leinart,1
PER,Mcelroy,1
PER,Mike,1
PER,Mike Mcneil,1
PER,Mila Lewis Banks,1
PER,Miss Leona,1
PER,Monday Nit,1
PER,Monday Nitersjohnny Cash,1
PER,Montell Washington,1
PER,Montoya Lucas,1
PER,Mr. Mary Lynn,1
PER,Mrs,1
PER,Much Manning,1
PER,N Dam U Kong,1
PER,Nat,1
PER,Nat ‘King,1
PER,Nat “King”Cole,1
PER,Nat King Cole,1
PER,Ndamudong Suh,1
PER,Ndamukong Suh,1
PER,Neal Herrford,1
PER,Neil Smith,1
PER,Norman Lear,1
PER,Ollie “Barbara Walters,1
PER,Ollie “Breaking New,1
PER,Ollie “Cnn,1
PER,Ollie “Dr. Death,1
PER,Ollie “Elephant Memory,1
PER,Ollie “Meet The Press,1
PER,Or Man,1
PER,Pa-Ul Booker,1
PER,Parker,1
PER,Patricia Wright,1
PER,Patti Labelle,1
PER,Paul “6902,1
PER,Paul “The Apostle,1
PER,Paul “The Converted Apostle,1
PER,Paul Knight,1
PER,Peanut,1
PER,Peanut Brittle,1
PER,Perfect Peyton,1
PER,Peter Yelorda,1
PER,Peterson,1
PER,Pitiful Paul,1
PER,Poe,1
PER,Poor,1
PER,Pper,1
PER,President,1
PER,Pryor,1
PER,Puddy Pot,1
